Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
akino-dollar,,,,,,,,Dark Ash - 180 GSM,akino-dollar-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-dollar,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552015/akino/ready/akino-dollar-2.jpg,2,AKINO Dollar Oversized Tee,
akino-dollar,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552015/akino/ready/akino-dollar-3.jpg,3,AKINO Dollar Oversized Tee,
akino-fight-club,AKINO Fight Club Oversized Tee,<p>AKINO Fight Club Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-fight-club-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552017/akino/ready/akino-fight-club-1.png,1,AKINO Fight Club Oversized Tee,active
akino-fight-club,,,,,,,,Dark Ash - 180 GSM,akino-fight-club-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-fight-club,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552019/akino/ready/akino-fight-club-2.png,2,AKINO Fight Club Oversized Tee,
akino-fight-club,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552021/akino/ready/akino-fight-club-3.png,3,AKINO Fight Club Oversized Tee,
akino-follow,AKINO Follow Your Own Path Oversized Tee,<p>AKINO Follow Your Own Path Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-follow-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552022/akino/ready/akino-follow-1.png,1,AKINO Follow Your Own Path Oversized Tee,active
akino-follow,,,,,,,,Dark Ash - 180 GSM,akino-follow-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-follow,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552024/akino/ready/akino-follow-2.png,2,AKINO Follow Your Own Path Oversized Tee,
akino-follow,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552025/akino/ready/akino-follow-3.png,3,AKINO Follow Your Own Path Oversized Tee,
akino-game-over,AKINO Game Over Oversized Tee,<p>AKINO Game Over Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-game-over-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552027/akino/ready/akino-game-over-1.png,1,AKINO Game Over Oversized Tee,active
akino-game-over,,,,,,,,Dark Ash - 180 GSM,akino-game-over-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-game-over,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552029/akino/ready/akino-game-over-2.png,2,AKINO Game Over Oversized Tee,
akino-game-over,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552030/akino/ready/akino-game-over-3.png,3,AKINO Game Over Oversized Tee,
akino-game-over,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552032/akino/ready/akino-game-over-4.png,4,AKINO Game Over Oversized Tee,
